ankle ang	knee ang	hip ang
-0.5	-18.2	36.96
-0.7909375	-18.9	38.261
-1.5425	-18.4875	39.18583
-2.572813	-17.7	40.1
-3.7	-17.04062	41.337
-5.012945	-15.9	41.27
-6.605889	-13.59437	39.359
-8.305	-10.85	36.3
-10.477	-8.13	35.878
-11.341	-7.2	35.39
-13.284	-5.637	35.931
-15.228	-4.299	36.49
-20.331	0	40.995
